Date,HospitalID,BloodGroup,UnitsAvailable,UnitsCollected,UnitsUsed,UnitsExpired,EmergencyCases,TrafficIndex,AvgTemperature,HolidayFlag,WeekendFlag
2023-01-24,HOSP_A,A+,133,18,18,1,3,0.35,30.15,0,0
2023-01-24,HOSP_A,A+,132,12,10,1,1,0.5,27.36,0,0
2023-01-25,HOSP_A,A+,133,16,19,1,4,0.67,27.2,0,0
2023-01-25,HOSP_A,A+,129,11,14,1,2,0.3,28.67,0,0
2023-01-26,HOSP_A,A+,125,29,27,1,1,0.54,29.88,0,0
2023-01-26,HOSP_A,A+,126,22,21,1,2,0.43,25.85,0,0
2023-01-27,HOSP_A,A+,126,18,16,1,1,0.49,30.84,0,0
2023-01-27,HOSP_A,A+,127,25,25,1,3,0.53,31.76,0,0
2023-01-27,HOSP_A,A+,126,24,23,1,4,0.72,29.65,0,0
2023-01-28,HOSP_A,A+,126,37,34,1,7,0.88,31.57,0,1
2023-01-28,HOSP_A,A+,128,21,25,1,2,0.32,27.59,0,1
2023-01-28,HOSP_A,A+,123,17,16,1,1,0.48,29.82,0,1
2023-01-28,HOSP_A,A+,123,29,25,1,1,0.44,27.89,0,1
2023-01-29,HOSP_A,A+,126,24,27,1,0,0.32,29.54,0,1
2023-01-29,HOSP_A,A+,122,18,19,1,2,0.64,29.2,0,1
2023-01-29,HOSP_A,A+,120,31,27,1,2,0.56,30.29,0,1
2023-01-31,HOSP_A,A+,123,11,16,1,2,0.7,27.11,0,0
2023-01-31,HOSP_A,A+,117,18,16,1,3,0.52,33.02,0,0
2023-01-31,HOSP_A,A+,118,19,23,1,3,0.43,31.3,0,0
2023-01-31,HOSP_A,A+,113,11,10,1,1,0.42,29.72,0,0
2023-02-01,HOSP_A,A+,113,7,14,1,0,0.34,29.62,0,0
2023-02-01,HOSP_A,A+,105,29,30,1,3,0.54,27.9,0,0
2023-02-01,HOSP_A,A+,103,16,16,1,2,0.4,29.79,0,0
2023-02-02,HOSP_A,A+,102,17,16,1,1,0.67,30.14,0,0
2023-02-02,HOSP_A,A+,102,20,21,1,1,0.53,28.31,0,0
2023-02-02,HOSP_A,A+,100,20,18,1,2,0.3,28.75,0,0
2023-02-03,HOSP_A,A+,101,11,12,1,2,0.46,27.43,0,0
2023-02-03,HOSP_A,A+,99,14,16,0,2,0.4,31.41,0,0
2023-02-03,HOSP_A,A+,97,16,16,0,4,0.54,32.18,0,0
2023-02-03,HOSP_A,A+,97,29,27,0,5,0.7,32.06,0,0
2023-02-04,HOSP_A,A+,99,26,28,0,1,0.87,33.44,0,1
2023-02-05,HOSP_A,A+,97,21,25,0,5,0.74,29.92,0,1
2023-02-05,HOSP_A,A+,93,44,39,0,6,0.83,30.64,0,1
2023-02-05,HOSP_A,A+,98,26,21,0,1,0.5,27.88,0,1
2023-02-05,HOSP_A,A+,103,25,23,1,3,0.76,32.01,0,1
2023-02-06,HOSP_A,A+,104,27,23,1,6,0.84,29.68,0,0
2023-02-07,HOSP_A,A+,107,22,28,1,4,0.49,31.97,0,0
2023-02-07,HOSP_A,A+,100,30,27,1,4,0.52,31.24,0,0
2023-02-07,HOSP_A,A+,102,28,30,1,4,0.53,30.5,0,0
2023-02-09,HOSP_A,A+,99,17,19,0,3,0.49,33.92,0,0
2023-02-10,HOSP_A,A+,97,24,27,0,1,0.63,33.02,0,0
2023-02-10,HOSP_A,A+,94,14,19,0,2,0.42,31.08,0,0
2023-02-11,HOSP_A,A+,89,18,18,0,3,0.66,31.96,0,1
2023-02-11,HOSP_A,A+,89,23,30,0,1,0.34,34.73,0,1
2023-02-11,HOSP_A,A+,82,24,25,0,2,0.76,31.18,0,1
2023-02-12,HOSP_A,A+,81,23,28,0,3,0.66,33.0,0,1
2023-02-12,HOSP_A,A+,76,19,25,0,1,0.63,34.77,0,1
2023-02-12,HOSP_A,A+,70,25,23,0,2,0.53,31.32,0,1
2023-02-13,HOSP_A,A+,72,16,18,0,5,0.78,31.88,0,0
2023-02-13,HOSP_A,A+,70,13,16,0,1,0.46,33.6,0,0
2023-02-13,HOSP_A,A+,67,20,23,0,3,0.43,34.48,0,0
2023-02-13,HOSP_A,A+,64,24,23,0,0,0.45,30.44,0,0
2023-02-14,HOSP_A,A+,65,20,18,0,1,0.43,35.03,0,0
2023-02-15,HOSP_A,A+,67,24,19,0,1,0.72,30.65,0,0
2023-02-15,HOSP_A,A+,72,19,21,0,4,0.73,32.63,0,0
2023-02-16,HOSP_A,A+,70,15,18,0,1,0.54,31.28,0,0
2023-02-17,HOSP_A,A+,67,30,32,0,4,0.68,33.69,0,0
2023-02-17,HOSP_A,A+,65,13,14,0,1,0.41,32.4,0,0
2023-02-19,HOSP_A,A+,64,17,19,0,1,0.49,31.29,0,1
2023-02-19,HOSP_A,A+,62,30,28,0,4,0.79,30.29,0,1
2023-02-20,HOSP_A,A+,64,22,23,0,2,0.45,33.75,0,0
2023-02-20,HOSP_A,A+,63,25,23,0,4,0.6,31.13,0,0
2023-02-21,HOSP_A,A+,65,21,18,0,5,0.59,33.98,0,0
2023-02-21,HOSP_A,A+,68,18,21,0,4,0.82,34.34,0,0
2023-02-21,HOSP_A,A+,65,16,12,0,2,0.89,31.92,0,0
2023-02-22,HOSP_A,A+,69,22,21,0,1,0.89,30.84,0,0
2023-02-22,HOSP_A,A+,70,23,25,0,1,0.62,36.67,0,0
2023-02-23,HOSP_A,A+,68,17,23,0,1,0.37,32.83,0,0
2023-02-23,HOSP_A,A+,62,16,18,0,0,0.44,31.01,0,0
2023-02-23,HOSP_A,A+,60,21,28,0,8,0.89,31.01,0,0
2023-02-23,HOSP_A,A+,53,17,16,0,3,0.49,33.79,0,0
2023-02-23,HOSP_A,A+,54,36,37,0,7,0.9,33.77,0,0
2023-02-23,HOSP_A,A+,53,17,19,0,4,0.66,27.97,0,0
2023-02-24,HOSP_A,A+,51,29,27,0,2,0.72,33.23,0,0
2023-02-24,HOSP_A,A+,53,24,25,0,6,0.77,29.12,0,0
2023-02-24,HOSP_A,A+,52,13,18,0,2,0.34,28.7,0,0
2023-02-24,HOSP_A,A+,47,10,10,0,1,0.49,31.27,0,0
2023-02-24,HOSP_A,A+,47,29,28,0,2,0.34,32.84,0,0
2023-02-24,HOSP_A,A+,48,17,19,0,3,0.67,32.29,0,0
2023-02-25,HOSP_A,A+,46,32,28,0,7,0.88,31.52,0,1
2023-02-25,HOSP_A,A+,50,30,32,0,3,0.83,32.6,0,1
2023-02-26,HOSP_A,A+,48,21,23,0,3,0.49,32.69,0,1
2023-02-26,HOSP_A,A+,46,24,27,0,5,0.67,35.69,0,1
2023-02-26,HOSP_A,A+,43,21,21,0,2,0.9,29.14,0,1
2023-02-26,HOSP_A,A+,43,20,21,0,2,0.35,35.94,0,1
2023-02-27,HOSP_A,A+,42,19,21,0,5,0.65,35.8,0,0
2023-02-27,HOSP_A,A+,40,22,23,0,2,0.35,34.16,0,0
2023-02-27,HOSP_A,A+,39,40,34,0,6,0.72,33.53,0,0
2023-02-28,HOSP_A,A+,45,16,14,0,2,0.47,30.75,0,0
2023-03-01,HOSP_A,A+,47,0,6,0,0,0.34,30.96,0,0
2023-03-01,HOSP_A,A+,41,4,7,0,1,0.33,36.73,0,0
2023-03-01,HOSP_A,A+,38,8,7,0,1,0.41,35.56,0,0
2023-03-03,HOSP_A,A+,39,7,5,0,0,0.44,35.12,0,0
2023-03-03,HOSP_A,A+,41,14,9,0,4,0.6,31.5,0,0
2023-03-03,HOSP_A,A+,46,12,12,0,2,0.45,33.62,0,0
2023-03-03,HOSP_A,A+,46,10,10,0,1,0.73,33.72,0,0
2023-03-04,HOSP_A,A+,46,12,13,0,5,0.63,36.16,0,1
2023-03-04,HOSP_A,A+,45,14,13,0,3,0.57,29.22,0,1
2023-03-04,HOSP_A,A+,46,23,20,0,5,0.62,34.16,0,1
2023-03-05,HOSP_A,A+,49,19,19,0,4,0.83,31.57,0,1
2023-03-05,HOSP_A,A+,49,20,17,0,7,0.84,35.1,0,1
2023-03-07,HOSP_A,A+,52,5,7,0,1,0.37,34.34,0,0
2023-03-07,HOSP_A,A+,50,7,8,0,2,0.6,34.33,0,0
2023-03-07,HOSP_A,A+,49,10,12,0,2,0.49,34.67,0,0
2023-03-08,HOSP_A,A+,47,13,8,0,3,0.52,35.67,0,0
2023-03-08,HOSP_A,A+,52,10,8,0,3,0.4,32.87,0,0
2023-03-09,HOSP_A,A+,54,11,10,0,2,0.37,32.45,0,0
2023-03-09,HOSP_A,A+,55,10,7,0,1,0.69,32.82,0,0
2023-03-10,HOSP_A,A+,58,14,12,0,1,0.74,32.9,0,0
2023-03-10,HOSP_A,A+,60,13,13,0,1,0.68,34.35,0,0
2023-03-10,HOSP_A,A+,60,14,9,0,2,0.31,34.2,0,0
2023-03-11,HOSP_A,A+,65,11,10,0,2,0.43,33.32,0,1
2023-03-11,HOSP_A,A+,66,15,17,0,5,0.87,34.52,0,1
2023-03-12,HOSP_A,A+,64,12,17,0,4,0.69,28.57,0,1
2023-03-12,HOSP_A,A+,59,20,20,0,5,0.75,36.2,0,1
2023-03-12,HOSP_A,A+,59,16,10,0,2,0.57,33.06,0,1
2023-03-13,HOSP_A,A+,65,10,14,0,5,0.79,34.36,0,0
2023-03-13,HOSP_A,A+,61,7,7,0,1,0.36,30.19,0,0
2023-03-15,HOSP_A,A+,61,19,16,0,5,0.9,32.76,0,0
2023-03-15,HOSP_A,A+,64,10,15,0,1,0.8,35.35,0,0
2023-03-15,HOSP_A,A+,59,12,13,0,1,0.42,33.55,0,0
2023-03-15,HOSP_A,A+,58,13,14,0,1,0.62,35.09,0,0
2023-03-16,HOSP_A,A+,57,5,7,0,2,0.71,35.5,0,0
2023-03-16,HOSP_A,A+,55,13,12,0,3,0.64,33.35,0,0
2023-03-17,HOSP_A,A+,56,11,11,0,4,0.68,33.51,0,0
2023-03-17,HOSP_A,A+,56,12,12,0,6,0.72,37.76,0,0
2023-03-18,HOSP_A,A+,56,23,18,0,2,0.41,34.89,0,1
2023-03-18,HOSP_A,A+,61,18,18,0,5,0.64,35.09,0,1
2023-03-18,HOSP_A,A+,61,22,21,0,5,0.58,34.97,0,1
2023-03-18,HOSP_A,A+,62,17,20,0,6,0.76,34.16,0,1
2023-03-19,HOSP_A,A+,59,11,15,0,3,0.66,35.28,0,1
2023-03-20,HOSP_A,A+,55,8,10,0,2,0.58,36.07,0,0
2023-03-20,HOSP_A,A+,53,18,21,0,7,0.83,36.75,0,0
2023-03-21,HOSP_A,A+,50,17,13,0,2,0.38,34.2,0,0
2023-03-21,HOSP_A,A+,54,7,7,0,2,0.69,37.18,0,0
2023-03-21,HOSP_A,A+,54,11,12,0,1,0.75,33.34,0,0
2023-03-21,HOSP_A,A+,53,11,11,0,3,0.64,38.54,0,0
2023-03-22,HOSP_A,A+,53,8,9,0,4,0.7,34.16,0,0
2023-03-22,HOSP_A,A+,52,13,11,0,2,0.46,36.73,0,0
2023-03-22,HOSP_A,A+,54,17,13,0,0,0.37,31.19,0,0
2023-03-23,HOSP_A,A+,58,2,7,0,1,0.31,37.7,0,0
2023-03-24,HOSP_A,A+,53,20,19,0,7,0.8,36.36,0,0
2023-03-24,HOSP_A,A+,54,17,13,0,4,0.79,33.86,0,0
2023-03-25,HOSP_A,A+,58,11,9,0,2,0.41,33.85,0,1
2023-03-25,HOSP_A,A+,60,12,11,0,0,0.31,36.52,0,1
2023-03-26,HOSP_A,A+,61,10,10,0,1,0.64,34.38,0,1
2023-03-26,HOSP_A,A+,61,8,10,0,3,0.68,33.73,0,1
2023-03-27,HOSP_A,A+,59,10,11,0,3,0.58,36.02,0,0
2023-03-27,HOSP_A,A+,58,10,10,0,1,0.32,35.88,0,0
2023-03-28,HOSP_A,A+,58,16,16,0,2,0.63,34.61,0,0
2023-03-28,HOSP_A,A+,58,13,13,0,1,0.59,33.18,0,0
2023-03-28,HOSP_A,A+,58,11,11,0,1,0.4,32.82,0,0
2023-03-28,HOSP_A,A+,58,9,10,0,5,0.66,34.75,0,0
2023-03-30,HOSP_A,A+,57,3,6,0,1,0.79,39.05,0,0
2023-03-30,HOSP_A,A+,54,12,12,0,5,0.63,39.22,0,0
2023-03-31,HOSP_A,A+,54,13,12,0,6,0.84,33.95,0,0
2023-03-31,HOSP_A,A+,55,10,15,0,3,0.75,32.28,0,0
2023-04-01,HOSP_A,A+,50,8,9,0,1,0.63,32.26,0,1
2023-04-03,HOSP_A,A+,49,9,15,0,3,0.9,37.57,0,0
2023-04-03,HOSP_A,A+,43,4,9,0,4,0.51,34.61,0,0
2023-04-03,HOSP_A,A+,38,19,17,0,6,0.9,35.96,0,0
2023-04-04,HOSP_A,A+,40,18,19,0,6,0.9,33.23,0,0
2023-04-05,HOSP_A,A+,39,14,21,0,7,0.87,37.26,0,0
2023-04-06,HOSP_A,A+,32,7,9,0,3,0.78,33.39,0,0
2023-04-06,HOSP_A,A+,30,12,14,0,3,0.61,34.49,0,0
2023-04-06,HOSP_A,A+,28,11,14,0,1,0.65,36.9,0,0
2023-04-07,HOSP_A,A+,25,13,11,0,6,0.77,36.35,0,0
2023-04-07,HOSP_A,A+,27,18,19,0,6,0.77,36.19,0,0
2023-04-08,HOSP_A,A+,26,10,14,0,6,0.86,37.65,0,1
2023-04-08,HOSP_A,A+,22,14,17,0,1,0.36,35.82,0,1
2023-04-09,HOSP_A,A+,19,16,15,0,1,0.33,30.13,0,1
2023-04-10,HOSP_A,A+,20,17,19,0,6,0.86,34.84,0,0
2023-04-11,HOSP_A,A+,18,7,13,0,3,0.58,38.53,0,0
2023-04-12,HOSP_A,A+,12,12,13,0,5,0.85,34.93,0,0
2023-04-12,HOSP_A,A+,11,11,15,0,3,0.79,33.72,0,0
2023-04-12,HOSP_A,A+,7,11,9,0,4,0.52,38.71,0,0
2023-04-13,HOSP_A,A+,9,15,16,0,2,0.75,36.91,0,0
2023-04-13,HOSP_A,A+,8,16,16,0,3,0.33,33.83,0,0
2023-04-13,HOSP_A,A+,8,9,7,0,2,0.74,36.34,0,0
2023-04-13,HOSP_A,A+,10,7,12,0,5,0.65,37.58,0,0
2023-04-13,HOSP_A,A+,5,2,7,0,2,0.64,33.2,0,0
2023-04-13,HOSP_A,A+,0,6,6,0,1,0.62,36.55,0,0
2023-04-14,HOSP_A,A+,0,13,13,0,6,0.75,36.48,0,0
2023-04-14,HOSP_A,A+,0,9,9,0,2,0.52,34.71,0,0
2023-04-14,HOSP_A,A+,0,14,13,0,4,0.54,35.71,0,0
2023-04-14,HOSP_A,A+,1,12,13,0,4,0.52,35.67,0,0
2023-04-16,HOSP_A,A+,0,11,11,0,6,0.75,35.62,0,1
2023-04-16,HOSP_A,A+,0,15,14,0,2,0.6,32.91,0,1
2023-04-16,HOSP_A,A+,1,9,10,0,1,0.54,33.46,0,1
2023-04-17,HOSP_A,A+,0,14,14,0,5,0.74,34.7,0,0
2023-04-17,HOSP_A,A+,0,16,14,0,2,0.72,36.23,0,0
2023-04-17,HOSP_A,A+,2,14,14,0,3,0.63,34.27,0,0
2023-04-17,HOSP_A,A+,2,14,15,0,1,0.51,34.97,0,0
2023-04-18,HOSP_A,A+,1,3,4,0,4,0.68,34.32,0,0
2023-04-18,HOSP_A,A+,0,16,16,0,2,0.45,33.73,0,0
2023-04-18,HOSP_A,A+,0,9,8,0,1,0.36,33.97,0,0
2023-04-18,HOSP_A,A+,1,15,15,0,5,0.8,35.58,0,0
2023-04-19,HOSP_A,A+,1,23,19,0,6,0.7,36.67,0,0
2023-04-20,HOSP_A,A+,5,8,13,0,2,0.32,37.78,0,0
2023-04-20,HOSP_A,A+,0,15,13,0,1,0.7,36.59,0,0
2023-04-20,HOSP_A,A+,2,19,16,0,2,0.34,34.21,0,0
2023-04-21,HOSP_A,A+,5,10,9,0,1,0.38,36.21,0,0
2023-04-21,HOSP_A,A+,6,14,13,0,5,0.73,35.39,0,0
2023-04-21,HOSP_A,A+,7,14,14,0,3,0.56,35.92,0,0
2023-04-21,HOSP_A,A+,7,8,9,0,3,0.84,32.79,0,0
2023-04-21,HOSP_A,A+,6,11,10,0,2,0.7,32.9,0,0
2023-04-21,HOSP_A,A+,7,10,7,0,2,0.53,35.1,0,0
2023-04-21,HOSP_A,A+,10,8,11,0,1,0.6,31.55,0,0
2023-04-22,HOSP_A,A+,7,7,11,0,1,0.85,33.86,0,1
2023-04-22,HOSP_A,A+,3,22,18,0,4,0.78,33.24,0,1
2023-04-22,HOSP_A,A+,7,6,8,0,1,0.89,36.52,0,1
2023-04-22,HOSP_A,A+,5,8,11,0,3,0.38,34.66,0,1
2023-04-23,HOSP_A,A+,2,14,14,0,1,0.49,32.58,0,1
2023-04-23,HOSP_A,A+,2,5,7,0,1,0.35,34.35,0,1
2023-04-24,HOSP_A,A+,0,11,11,0,2,0.52,36.99,0,0
2023-04-24,HOSP_A,A+,0,15,12,0,2,0.3,37.89,0,0
2023-04-24,HOSP_A,A+,3,2,5,0,2,0.42,35.18,0,0
2023-04-24,HOSP_A,A+,0,11,8,0,3,0.77,34.95,0,0
2023-04-24,HOSP_A,A+,3,13,14,0,2,0.33,31.96,0,0
2023-04-25,HOSP_A,A+,2,13,14,0,4,0.5,34.83,0,0
2023-04-25,HOSP_A,A+,1,17,14,0,1,0.33,32.31,0,0
2023-04-26,HOSP_A,A+,4,17,14,0,2,0.68,32.24,0,0
2023-04-27,HOSP_A,A+,7,14,12,0,3,0.4,33.72,0,0
2023-04-27,HOSP_A,A+,9,8,10,0,0,0.31,37.45,0,0
2023-04-28,HOSP_A,A+,7,12,10,0,4,0.79,36.35,0,0
2023-04-28,HOSP_A,A+,9,13,13,0,5,0.88,34.63,0,0
2023-04-28,HOSP_A,A+,9,10,10,0,2,0.34,31.83,0,0
2023-04-28,HOSP_A,A+,9,14,9,0,1,0.56,35.24,0,0
2023-04-28,HOSP_A,A+,14,8,6,0,0,0.35,35.29,0,0
2023-04-29,HOSP_A,A+,16,9,10,0,3,0.66,34.12,0,1
2023-04-29,HOSP_A,A+,15,15,19,0,3,0.56,34.4,0,1
2023-04-30,HOSP_A,A+,11,16,19,0,4,0.64,32.35,0,1
2023-04-30,HOSP_A,A+,8,11,12,0,2,0.88,31.63,0,1
2023-04-30,HOSP_A,A+,7,14,17,0,2,0.7,33.59,0,1
2023-05-02,HOSP_A,A+,4,8,10,0,2,0.52,34.63,0,0
2023-05-02,HOSP_A,A+,2,15,17,0,3,0.61,31.18,0,0
2023-05-03,HOSP_A,A+,0,18,16,0,3,0.4,32.31,0,0
2023-05-04,HOSP_A,A+,2,16,18,0,5,0.65,31.59,0,0
2023-05-04,HOSP_A,A+,0,5,5,0,2,0.43,33.05,0,0
2023-05-04,HOSP_A,A+,0,11,11,0,3,0.51,31.48,0,0
2023-05-05,HOSP_A,A+,0,8,6,0,1,0.34,31.15,0,0
2023-05-05,HOSP_A,A+,2,20,18,0,5,0.9,32.71,0,0
2023-05-05,HOSP_A,A+,4,11,13,0,2,0.86,34.49,0,0
2023-05-06,HOSP_A,A+,2,19,16,0,1,0.34,31.64,0,1
2023-05-06,HOSP_A,A+,5,22,20,0,4,0.71,32.18,0,1
2023-05-06,HOSP_A,A+,7,7,10,0,3,0.48,35.36,0,1
2023-05-07,HOSP_A,A+,4,16,17,0,3,0.58,30.68,0,1
2023-05-07,HOSP_A,A+,3,16,16,0,4,0.69,31.39,0,1
2023-05-08,HOSP_A,A+,3,14,13,0,6,0.71,35.58,0,0
2023-05-10,HOSP_A,A+,4,13,16,0,2,0.33,32.03,0,0
2023-05-10,HOSP_A,A+,1,8,9,0,3,0.81,32.75,0,0
2023-05-10,HOSP_A,A+,0,18,18,0,5,0.85,32.52,0,0
2023-05-11,HOSP_A,A+,0,12,12,0,5,0.8,31.41,0,0
2023-05-11,HOSP_A,A+,0,10,10,0,4,0.68,33.64,0,0
2023-05-12,HOSP_A,A+,0,6,6,0,1,0.55,32.92,0,0
2023-05-12,HOSP_A,A+,0,10,10,0,4,0.59,36.19,0,0
2023-05-12,HOSP_A,A+,0,15,15,0,5,0.58,34.56,0,0
2023-05-13,HOSP_A,A+,0,15,15,0,3,0.76,35.81,0,1
2023-05-13,HOSP_A,A+,0,12,9,0,2,0.45,31.34,0,1
2023-05-13,HOSP_A,A+,3,11,11,0,1,0.44,33.58,0,1
2023-05-13,HOSP_A,A+,3,5,8,0,2,0.52,34.72,0,1
2023-05-14,HOSP_A,A+,0,20,16,0,3,0.9,31.28,0,1
2023-05-15,HOSP_A,A+,4,11,15,0,3,0.63,31.29,0,0
2023-05-16,HOSP_A,A+,0,14,14,0,3,0.76,34.91,0,0
2023-05-16,HOSP_A,A+,0,14,13,0,3,0.77,33.04,0,0
2023-05-16,HOSP_A,A+,1,13,14,0,5,0.83,30.35,0,0
2023-05-16,HOSP_A,A+,0,18,17,0,4,0.6,30.18,0,0
2023-05-17,HOSP_A,A+,1,19,16,0,3,0.36,29.18,0,0
2023-05-18,HOSP_A,A+,4,8,12,0,7,0.8,29.64,0,0
2023-05-19,HOSP_A,A+,0,12,8,0,1,0.87,33.62,0,0
2023-05-19,HOSP_A,A+,4,13,11,0,3,0.69,35.3,0,0
2023-05-19,HOSP_A,A+,6,15,14,0,6,0.76,27.29,0,0
2023-05-20,HOSP_A,A+,7,17,16,0,4,0.87,30.19,0,1
2023-05-21,HOSP_A,A+,8,13,9,0,1,0.51,28.28,0,1
2023-05-21,HOSP_A,A+,12,16,16,0,2,0.65,32.08,0,1
2023-05-22,HOSP_A,A+,12,11,9,0,3,0.67,30.54,0,0
2023-05-22,HOSP_A,A+,14,15,15,0,5,0.8,31.26,0,0
2023-05-22,HOSP_A,A+,14,20,18,0,6,0.67,32.98,0,0
2023-05-22,HOSP_A,A+,16,18,19,0,5,0.85,32.16,0,0
2023-05-22,HOSP_A,A+,15,6,8,0,2,0.5,31.95,0,0
2023-05-23,HOSP_A,A+,13,11,15,0,4,0.6,31.58,0,0
2023-05-23,HOSP_A,A+,9,10,11,0,1,0.58,29.9,0,0
2023-05-24,HOSP_A,A+,8,20,19,0,6,0.7,29.81,0,0
2023-05-24,HOSP_A,A+,9,11,12,0,3,0.6,32.49,0,0
2023-05-24,HOSP_A,A+,8,15,17,0,7,0.78,31.31,0,0
2023-05-25,HOSP_A,A+,6,9,9,0,1,0.5,31.45,0,0
2023-05-25,HOSP_A,A+,6,14,11,0,2,0.38,31.95,0,0
2023-05-25,HOSP_A,A+,9,14,14,0,1,0.52,29.13,0,0
2023-05-26,HOSP_A,A+,9,13,13,0,5,0.56,33.32,0,0
2023-05-26,HOSP_A,A+,9,15,13,0,5,0.64,31.2,0,0
2023-05-27,HOSP_A,A+,11,23,19,0,3,0.89,26.98,0,1
2023-05-29,HOSP_A,A+,15,14,10,0,1,0.58,30.94,0,0
2023-05-29,HOSP_A,A+,19,6,9,0,3,0.57,32.51,0,0
2023-05-29,HOSP_A,A+,16,13,13,0,4,0.61,34.87,0,0
2023-05-30,HOSP_A,A+,16,17,13,0,5,0.74,28.23,0,0
2023-05-30,HOSP_A,A+,20,18,17,0,4,0.63,32.9,0,0
2023-05-30,HOSP_A,A+,21,3,10,0,4,0.58,32.62,0,0
2023-05-30,HOSP_A,A+,14,12,15,0,2,0.54,33.19,0,0
2023-05-30,HOSP_A,A+,11,11,10,0,2,0.58,31.64,0,0
2023-05-30,HOSP_A,A+,12,19,18,0,4,0.69,31.02,0,0
2023-05-31,HOSP_A,A+,13,14,18,0,7,0.86,29.58,0,0
2023-05-31,HOSP_A,A+,9,15,14,0,8,0.89,30.85,0,0
2023-06-01,HOSP_A,A+,10,9,10,0,1,0.5,34.85,0,0
2023-06-01,HOSP_A,A+,9,15,20,0,6,0.81,25.22,0,0
2023-06-02,HOSP_A,A+,4,14,8,0,1,0.52,23.36,0,0
2023-06-02,HOSP_A,A+,10,10,13,0,6,0.71,30.29,0,0
2023-06-03,HOSP_A,A+,7,11,14,0,1,0.38,29.13,0,1
2023-06-04,HOSP_A,A+,4,14,12,0,5,0.69,31.21,0,1
2023-06-04,HOSP_A,A+,6,19,17,0,5,0.66,30.22,0,1
